Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
best cat food,9900,79.25,1.93,1.00,Review
best dry cat food,3600,81.21,2.46,1.00,Video
best wet cat food,2900,79.25,2.68,1.00,"Review, Video"
best canned cat food,1900,78.98,3.93,1.00,"Review, Video"
best cat food brands,1600,77.97,2.99,1.00,"Review, Video"
best food for cats,1000,81.33,2.00,1.00,"Review, Video"
best wet food for cats,880,81.16,2.90,1.00,Video
best grain free cat food,880,74.65,2.75,1.00,"Review, Video"
best cat foods,880,79.93,2.46,1.00,Review
what is the best cat food,880,79.35,2.16,1.00,"Review, Video"
best cat food for kittens,590,79.44,2.25,1.00,Video
best cat food for indoor cats,590,79.69,1.83,1.00,"Review, Video"
best dry food for cats,480,78.75,3.11,1.00,"Review, Video"
best cat food for older cats,390,82.91,2.14,1.00,Review
best natural cat food,390,77.01,1.55,0.99,"Review, Video"
best cat food brand,320,77.67,3.40,0.82,"Review, Video"
best cat food for weight loss,320,79.34,2.11,1.00,Video
best cat food for sensitive stomach,320,80.43,1.94,1.00,Review
the best cat food,320,80.22,1.91,1.00,Video
best dry cat food for indoor cats,320,77.46,0.85,1.00,"Review, Video"
best wet cat food brands,260,76.79,3.14,1.00,
best cheap cat food,260,79.86,1.34,0.91,"Review, Video"
best indoor cat food,260,80.40,1.01,1.00,Review
best cat food for sensitive stomachs,260,81.66,0.99,1.00,Review
best cat food reviews,210,72.41,7.50,1.00,"Review, Video"
best canned food for cats,210,78.06,4.89,1.00,"Review, Video"
best dry cat foods,210,78.75,4.25,1.00,"Review, Video"
best raw cat food,210,64.73,3.96,0.93,"Review, Video"
best organic cat food,210,78.20,3.35,1.00,Review
best senior cat food,210,81.37,2.08,1.00,"Review, Video"
best cat food for allergies,210,80.19,1.78,1.00,Review
best food for diabetic cat,170,70.80,4.23,1.00,"Review, Video"
best rated cat food,170,72.47,3.17,1.00,Review
best quality cat food,170,76.13,3.00,0.95,
what is the best dry cat food,170,78.25,2.82,1.00,Review
best cat wet food,170,79.20,2.71,0.95,"Review, Video"
best dry cat food brands,170,74.85,2.60,1.00,"Review, Video"
best cat food for hedgehogs,170,69.46,2.40,0.42,Video
best cat food for hairballs,170,81.30,2.14,1.00,Review
best cat food for cats,170,80.00,1.85,1.00,Video
best cat dry food,170,77.46,1.74,1.00,Video
best cat food 2015,140,75.34,6.79,0.62,"Review, Video"
best can cat food,140,80.29,4.28,1.00,"Review, Video"
best cat food for cats that throw up,140,83.65,4.27,1.00,"Review, Video"
best wet cat food for kittens,140,82.17,3.80,1.00,"Review, Video"
best brand of cat food,140,76.59,2.64,0.96,"Review, Video"
best grain free canned cat food,140,78.70,2.27,1.00,"Review, Video"
best cat food for urinary health,140,72.70,1.90,1.00,"Review, Video"
best diet cat food,140,80.96,1.80,1.00,Video
best grain free wet cat food,140,79.46,1.76,1.00,"Review, Video"
best affordable cat food,140,77.47,1.70,0.95,"Review, Video"
best cat food for senior cats,140,80.72,1.23,1.00,Review
best dry cat food for urinary health,140,74.29,1.14,1.00,"Review, Video"
best wet cat food for urinary health,140,68.76,1.00,1.00,"Review, Video"
best premium cat food,140,76.45,0.65,0.61,"Review, Video"
what is the best wet cat food,110,77.94,3.54,1.00,"Review, Video"
best hairball cat food,110,81.30,2.91,1.00,Review
best dry cat food reviews,110,75.14,2.75,1.00,"Review, Video"
best cat food dry,110,79.45,2.27,1.00,Video
